OBJECTID;weight;node_id;nps_dn;p_max
1;2250000.000000000000000;GS-0853;300;25
2;2250000.000000000000000;GS-2079;300;25
3;4000000.000000000000000;GS-6805;400;25
4;4000000.000000000000000;GS-6568;400;25
5;14400000.000000000000000;GS-6844;600;40
6;2560000.000000000000000;GS-6845;400;16
7;16000000.000000000000000;GS-6469;400;100
8;4000000.000000000000000;GS-6570;400;25
9;6250000.000000000000000;GS-6695;500;25
10;17500000.000000000000000;GS-7209;500;70
11;15750000.000000000000000;GS-6407;500;63
12;41160000.000000000000000;GS-7240;700;84
13;2700000.000000000000000;GS-4467;200;68
14;1518750.000000000000000;GS-4455;150;68
15;1518750.000000000000000;GS-4470;150;68
16;68000000.000000000000000;GS-3484;1000;68
17;72900000.000000000000000;GS-0632;900;90
18;72900000.000000000000000;GS-0633;900;90
19;84000000.000000000000000;GS-0774;1000;84
20;100000000.000000000000000;GS-3485;1000;100
21;1575000.000000000000000;GS-1316;150;70
22;22680000.000000000000000;GS-6922;600;63
23;2720000.000000000000000;GS-4696;200;68
24;2560000.000000000000000;GS-4413;200;64
25;2560000.000000000000000;GS-4516;200;64
26;2700000.000000000000000;GS-4494;200;68
27;2560000.000000000000000;GS-4713;200;64
28;1518750.000000000000000;GS-4582;150;68
29;1518750.000000000000000;GS-4682;150;68
30;2560000.000000000000000;GS-4308;200;64
31;562500.000000000000000;GS-4444;150;25
32;25200000.000000000000000;GS-7246;600;70
33;1440000.000000000000000;GS-6921;300;16
34;4000000.000000000000000;GS-6928;500;16
35;4000000.000000000000000;GS-6772;500;16
36;64000000.000000000000000;GS-6739;800;100
37;10080000.000000000000000;GS-6659;400;63
38;24300000.000000000000000;GS-6889;600;68
39;24300000.000000000000000;GS-6888;600;68
40;21000000.000000000000000;GS-6519;500;84
41;2250000.000000000000000;GS-6498;300;25
42;101640000.000000000000000;GS-6602;1100;84
43;6250000.000000000000000;GS-6586;500;25
44;9000000.000000000000000;GS-6872;600;25
45;36000000.000000000000000;GS-6670;600;100
46;630000.000000000000000;GS-6875;100;63
47;2250000.000000000000000;GS-6575;300;25
48;11200000.000000000000000;GS-4050;400;70
49;4000000.000000000000000;GS-6927;400;25
50;16000000.000000000000000;GS-6610;800;25
51;64000000.000000000000000;GS-6624;800;100
52;6075000.000000000000000;GS-0727;300;68
53;6075000.000000000000000;GS-0729;300;68
54;120960000.000000000000000;GS-0091;1200;84
55;5760000.000000000000000;GS-4313;300;64
56;5760000.000000000000000;GS-4312;300;64
57;17000000.000000000000000;GS-0679;500;68
58;64800000.000000000000000;GS-2680;900;80
59;5760000.000000000000000;GS-3578;300;64
60;25200000.000000000000000;GS-4099;600;70
61;25200000.000000000000000;GS-4100;600;70
62;4375000.000000000000000;GS-4110;250;70
63;7560000.000000000000000;GS-3996;300;84
64;57600000.000000000000000;GS-4027;800;90
65;20160000.000000000000000;GS-3682;600;56
66;2700000.000000000000000;GS-3673;200;68
67;2700000.000000000000000;GS-3672;200;68
68;9920000.000000000000000;GS-3550;400;62
69;9920000.000000000000000;GS-3602;400;62
70;10800000.000000000000000;GS-3565;400;68
71;10800000.000000000000000;GS-3725;400;68
72;10800000.000000000000000;GS-3569;400;68
73;4218750.000000000000000;GS-3617;250;68
74;16875000.000000000000000;GS-3518;500;68
75;16875000.000000000000000;GS-3519;500;68
76;9000000.000000000000000;GS-6907;300;100
77;17000000.000000000000000;GS-0680;500;68
78;16032500.000000000000000;GS-3607;550;53
79;2700000.000000000000000;GS-3545;200;68
80;2700000.000000000000000;GS-3684;200;68
81;2700000.000000000000000;GS-3612;200;68
82;1440000.000000000000000;GS-6912;300;16
83;562500.000000000000000;GS-6863;150;25
84;4000000.000000000000000;GS-6862;400;25
85;2560000.000000000000000;GS-6825;400;16
86;2560000.000000000000000;GS-6846;400;16
87;2700000.000000000000000;GS-1657;200;68
88;1440000.000000000000000;GS-1111;300;16
89;11200000.000000000000000;GS-1108;400;70
90;6075000.000000000000000;GS-1637;300;68
91;360000.000000000000000;GS-2315;150;16
92;64000000.000000000000000;GS-3959;800;100
93;360000.000000000000000;GS-2312;150;16
94;25200000.000000000000000;GS-2170;600;70
95;1440000.000000000000000;GS-2163;300;16
96;1440000.000000000000000;GS-2164;300;16
97;6120000.000000000000000;GS-2833;300;68
98;8000000.000000000000000;GS-2534;400;50
99;16000000.000000000000000;GS-3975;400;100
100;1600000.000000000000000;GS-2304;200;40
101;16000000.000000000000000;GS-3974;400;100
102;5760000.000000000000000;GS-2539;600;16
103;640000.000000000000000;GS-3438;400;4
104;640000.000000000000000;GS-3408;400;4
105;640000.000000000000000;GS-2540;400;4
106;1600000.000000000000000;GS-2199;200;40
107;640000.000000000000000;GS-1407;200;16
108;640000.000000000000000;GS-2211;200;16
109;640000.000000000000000;GS-2206;200;16
110;360000.000000000000000;GS-1528;150;16
111;44800000.000000000000000;GS-3425;800;70
112;11200000.000000000000000;GS-3474;400;70
113;11200000.000000000000000;GS-3399;400;70
114;1000000.000000000000000;GS-1765;250;16
115;1600000.000000000000000;GS-1707;200;40
116;640000.000000000000000;GS-1769;200;16
117;360000.000000000000000;GS-1101;150;16
118;44800000.000000000000000;GS-2349;800;70
119;640000.000000000000000;GS-1856;200;16
120;160000.000000000000000;GS-1115;100;16
121;640000.000000000000000;GS-1194;200;16
122;3600000.000000000000000;GS-2345;600;10
123;160000.000000000000000;GS-1204;100;16
124;2500000.000000000000000;GS-1230;250;40
125;640000.000000000000000;GS-1197;200;16
126;72900000.000000000000000;GS-0668;900;90
127;115200000.000000000000000;GS-3495;1200;80
128;64000000.000000000000000;GS-3984;800;100
129;25200000.000000000000000;GS-1692;600;70
130;68000000.000000000000000;GS-3164;1000;68
131;640000.000000000000000;GS-1821;200;16
132;1000000.000000000000000;GS-1436;250;16
133;1000000.000000000000000;GS-1435;250;16
